 合约代码, 开仓手续费(按手数), 开仓手续费(按金额), 平今手续费(按手数), 平今手续费(按金额)
TA,3.03,0.0,3.03,0.0
SC,20.2,0.0,20.2,0.0
UR,10.05,0.0,10.05,0.0
CJ,15.15,0.0,15.15,0.0
ZC,151.2,0.0,151.2,0.0
CF,4.35,0.0,4.35,0.0
P,2.53,0.0,2.53,0.0
RU,3.03,0.0,3.03,0.0
HC,0.0,0.00010106,0.0,0.00010106
J,0.0,0.00010106,0.0,0.00014146
JM,0.0,0.00010106,0.0,0.00014146
FU,0.0,5.056e-05,0.0,0.00025006
C,1.22,0.0,1.22,0.0
FG,6.06,0.0,6.06,0.0
MA,2.02,0.0,2.02,0.0
SR,3.03,0.0,3.03,0.0
AG,0.0,5.056e-05,0.0,5.056e-05
SF,3.03,0.0,9.0,0.0
SA,3.54,0.0,10.0,0.0
PP,1.01,0.0,1.01,0.0
L,1.01,0.0,1.01,0.0
V,1.01,0.0,1.01,0.0
AP,10.05,0.0,20.2,0.0
OI,6.02,0.0,6.02,0.0
RM,6.02,0.0,6.02,0.0
RB,0.0,0.00020106,0.0,0.00020106
Y,2.53,0.0,2.53,0.0
M,1.52,0.0,1.52,0.0
I,0.0,0.00020106,0.0,0.00040106
PB,0.0,4.046e-05,0.0,4.046e-05
CU,0.0,5.056e-05,0.0,5.056e-05
AL,3.03,0.0,3.03,0.0
ZN,3.03,0.0,3.03,0.0
SN,3.03,0.0,90.03,0.0
NI,3.03,0.0,60.03,0.0
JD,0.0,0.00015156,0.0,0.00015156
AU,10.1,0.0,10.1,0.0
